,Name,Speed,Team
360,C. Zimmermann,31.47,SV Darmstadt 98
361,Josuha Guilavogui,31.47,1. FSV Mainz 05
362,N. Theuerkauf,31.43,1. FC Heidenheim 1846
363,Nacho Ferri,31.42,Eintracht Frankfurt
364,Raphaël Guerreiro,31.37,FC Bayern München
365,P. Hofmann,31.36,VfL Bochum 1848
366,Ellyes Skhiri,31.35,Eintracht Frankfurt
367,Leonardo Bittencourt,31.34,SV Werder Bremen
368,N. Rapp,31.34,SV Werder Bremen
369,S. Kalajdžić,31.32,Eintracht Frankfurt
370,A. Stiller,31.30,VfB Stuttgart
371,Jordan,31.30,Borussia Mönchengladbach
372,N. Dovedan,31.29,1. FC Heidenheim 1846
373,F. Pick,31.29,1. FC Heidenheim 1846
374,F. Holland,31.27,SV Darmstadt 98
375,K. Stöger,31.23,VfL Bochum 1848
376,Aster Vranckx,31.23,VfL Wolfsburg
377,Y. Borges Sanches,31.22,Borussia Mönchengladbach
378,G. Ranos,31.17,Borussia Mönchengladbach
379,L. Pfeiffer,31.17,SV Darmstadt 98
380,D. Heintz,31.16,1. FC Köln
381,P. Förster,31.12,VfL Bochum 1848
382,R. Andrich,31.08,Bayer 04 Leverkusen
383,M. Hasebe,31.07,Eintracht Frankfurt
384,B. Sosa,31.06,VfB Stuttgart
385,Pep Biel,31.05,FC Augsburg
386,D. van de Beek,31.04,Eintracht Frankfurt
387,D. Thomalla,31.03,1. FC Heidenheim 1846
388,L. Majer,31.00,VfL Wolfsburg
389,R. Zentner,30.97,1. FSV Mainz 05
390,J. Haberer,30.96,1. FC Union Berlin
391,M. Götze,30.95,Eintracht Frankfurt
392,J. Weigl,30.95,Borussia Mönchengladbach
393,M. Gregoritsch,30.93,Sport-Club Freiburg
394,T. Chandler,30.87,Eintracht Frankfurt
395,Lilian Egloff,30.86,VfB Stuttgart
396,Mark Uth,30.86,1. FC Köln
397,O. Baumann,30.85,TSG Hoffenheim
398,O. Pohlmann,30.83,Borussia Dortmund
399,Ryan Gravenberch,30.80,FC Bayern München
400,Mateu Morey Bauza,30.79,Borussia Dortmund
401,P. Jaeckel,30.76,1. FC Union Berlin
402,I. Hansen-Aaröen,30.75,SV Werder Bremen
403,Fabio Chiarodia,30.75,Borussia Mönchengladbach
404,M. Kömür,30.74,FC Augsburg
405,M. Okugawa,30.73,FC Augsburg
406,Mathias Olesen,30.71,1. FC Köln
407,M. Veljković,30.69,SV Werder Bremen
408,S. Zoller,30.66,VfL Bochum 1848
409,S. Bell,30.66,1. FSV Mainz 05
410,A. Losilla,30.62,VfL Bochum 1848
411,K. Kampl,30.60,RB Leipzig
412,Danilo Soares,30.59,VfL Bochum 1848
413,Thomas Isherwood,30.59,SV Darmstadt 98
